,Nombre,Título,Fecha,Rating,Reviews,Tipo
51,Tandoor Indian Food,Gran descubrimiento,2 de julio de 2018,50,"El lugar es muy agradable, lindo, acogedor. La comida es deliciosa, y generosa. Las recomendaciones del chef son realmente espectaculares. Las bebidas son buenísimas (lassi de lyches)","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
52,Tandoor Indian Food,Verdadero sabor de la India,19 de abril de 2018,50,"El ambiente es exquisito y sobrio, el servicio es excelente, amigable y cordial y la comida es deliciosamente India a precios muy consecuentes con la billetera, definitivamente y comparado con otros restaurantes Indios que he visitado, Namaste es muy recomendable!","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
53,Restaurante Gitane,Muy buena opción para comer delicioso,6 de marzo de 2020,50,"Gitane es uno de esos restaurantesa los que se regresa con frecuencia, tanto por su ambiente, tranquilo y acogedor sin estridencias, como por su deliciosa comida.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
54,Restaurante Gitane,Una buena opción,27 de diciembre de 2019,50,"muy buena comida y ambiente, recomendado de entrada: albóndigas de cordero y plato fuerte el cordero.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
55,Restaurante Gitane,Muy rico el restaurante! Recomendado,1 de diciembre de 2019,40,Muy rico el restaurante! Recomendado para la gente q le gusta esta comida. Uno de los mejores salmones q me he comido.,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
56,Restaurante Gitane,Nos gusto mucho,23 de noviembre de 2019,40,Estuvimos la semana pasada celebrando el cumpleaños de una amiga . Hice reserva a través de la página web sin ningún inconveniente . Disfrutamos de un momento agradable y buen servicio . La verdad la comida muy rica. Volveré !,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
57,Restaurante Gitane,Agradable ambiente y comida muy rica,23 de septiembre de 2019,40,"Es un sitio con espacios amplios y agradable comida y muy buena atención. Está ubicado en uno de los mejores sitios de Bogotá, de facil acceso","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
58,Restaurante Gitane,Visita para cena,14 de septiembre de 2019,50,Excelente sitio Excelente la comida Excelente atención Muy buenas las cervezas del local que son de la misma empresa,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
59,Restaurante Gitane,No quedé contento.,29 de agosto de 2019,20,No tenían dos platos fuertes principales!!! Uno del menú del día ni las chuletas de cordero. Considero que en un restaurante de este nivel deben contar con los platos que ofrecen.,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
60,Restaurante Gitane,La ensalada de Quinua y pechuga vale la pena probar!!!!,26 de agosto de 2019,50,"El ambiente es cálido, los precios aceptables para el sector, la calidad de la comida es excelente y se puede cenar tranquilo en una atmósfera de exclusividad agradable, sin tanto ruido. Me encantó la decoración que no es pretenciosa.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
61,Restaurante Gitane,Excelente !! Han mejorado,24 de agosto de 2019,50,"Buen ambiente, mucha opciones en la carta, buen servicio , el postre de duraznos con helado de yogurth inigualable!!","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
62,Restaurante Gitane,Me encantó,20 de agosto de 2019,40,"La comida muy buena, la atención excelente, me parece que la carta es muy corta, podría ser más amplia","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
63,Restaurante Gitane,"Rico, bien presentado, ambiente acogedor",6 de agosto de 2019,40,"la comida muy bien preparada, el menú no es muy extenso pero lo que ofrecen me pareció rico, suficiente y bien presentado. Prefiero los sitios no tan oscuros.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
64,Restaurante Gitane,Fantástico,6 de agosto de 2019,50,"Es un restaurante que tiene muy buen ambiente, deliciosa comida mediterránea y excelente servicio. Volveré sin duda alguna. Totalmente recomendado.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
65,Restaurante Gitane,Excelente opción,6 de agosto de 2019,40,"Gitane es un muy buen restaurante, excelente servicio y atención. La comida es muy buena, las entradas son excelentes. El lugar es bonito y agradable. Un muy buen lugar en Bogotd","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
66,Restaurante Gitane,Rica opción,16 de junio de 2019,40,"Recomendadísima la pizza y los dips...me encanta picar así que pedimos varios platos para compartir y probar varias cosas y todo nos gustó... tienen una muy buena carta de vinos, un lugar muy agradable y buena atención.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
67,Restaurante Gitane,Muy buen menu,2 de junio de 2019,50,Estuve almorzando con un grupo de amigos y nos pareció que tanto el menú así como también el servicio es excelente.,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
68,Restaurante Gitane,Normal,28 de mayo de 2019,30,Restaurante normal. La carta es más bien pobre. Precios altos. La decoración es agradable. En conclusión no me sorprendió.,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
69,Restaurante Gitane,Excelente,19 de mayo de 2019,50,"Todo en este restaurante es excelente, la decoración, la presentación y la calidad de los platos, el buen servicio. Un poco caro y hay que pedir reservación, pero vale la pena.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
70,Restaurante Gitane,Buena mesa,7 de abril de 2019,50,"Bueno todo lo que pedimos. Las chuleas de cordero con orso t almendras y la musaca excelente. El plato arabe mixto, lo mejor. Buenos postres y cocteles.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
71,Restaurante Gitane,Comida estilo mediterráneo (del este),4 de marzo de 2019,30,"Comida de estilo mediterráneo. Fuimos en grupo, pedimos mezze, pescado y guiso de cordero. Agradable pero no sobresaliente. El café regular.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
72,Restaurante Gitane,Almuerzo Casual,21 de febrero de 2019,40,El lugar está ubicado en una zona muy céntrica de Bogotá. Estaba hospedandome por el area por lo que decidí pasar a almorzar. La verdad muy casual; la comida estaba OK sin ser nada especial.,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
73,Restaurante Gitane,Excelente!,13 de febrero de 2019,50,Muy variada la carta y deliciosa la comida. El servicio excelente. Particularmente tienen el mejor humus que me he comido en mi vida. Muy buena la relación costo/beneficio. Divino el lugar y excelente atención.,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
74,Restaurante Gitane,Esta muy rico!,15 de enero de 2019,40,"En el tradicional hotel Biuxury esta ubicado Gitane, un restaurante de un famoso restaurantero Colombiano qué combina lo mejor de la comida mediterránea con otros sabores. Muy recomendado.","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
75,Restaurante Gitane,Muy bueno,15 de diciembre de 2018,50,Excelente restaurante! Que buena comida! Excelente atención y servicio. Felicitaciones. Gracias por las atenciones.,"RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
76,Restaurante Gitane,Sitio espectacular,25 de noviembre de 2018,50,"Estuvimos almorzando en esta delicia de restaurante. Estilo mediterránea La decoración hermosa , un sitio muyy agradable. Para celebraciones especiales. La comida deliciosa","RANGO DE PRECIOS
$ 20 - $ 50
TIPOS DE COMIDA
Mediterránea
COMIDAS
Almuerzo, Cena"
77,Callao Sanguchería,Nada mal,21 de agosto de 2019,40,"El servicio fue bueno y ágil. La cómida de buen sabor. El ambiente del lugar genial Comí sanguche, papas y chicha morada. Vi otros platos y se me hace algo pequeña la porción.","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
78,Callao Sanguchería,Volveré!,6 de mayo de 2019,40,"Un lugar súper informal con una atención muy agradable, la comida rica y las porciones muy generosas, me sobró para llevar :) Quedé antojada, volveré!","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
79,Callao Sanguchería,almuerzo de amigos,19 de marzo de 2019,50,"En general muy bien, calidad versus precio es exelente. muy buena atencion. Un poco pequeño pero definitivamente vale la pena esperar, pidan la chicha morada.","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
80,Callao Sanguchería,De lo mas parecido a Perú,22 de diciembre de 2018,40,"El mejor lomo saltado que me he comido en Bogota, de lo mas parecido a lo que hacen en Lima. Excelente sabor y precios. Muy recomendable","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
81,Callao Sanguchería,La comida es igual que en Peru!!!,6 de marzo de 2018,50,"Viví un tiempo en Perú y puedo decir con certeza que la comida tiene un sabor muy similar a los platos que comí en Perú. Además las porciones son gigantes, un precio muy bueno para la calidad y cantidad. Gracias, volveré!","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
82,Callao Sanguchería,"Bueno, pero... y el servicio?",24 de octubre de 2017,40,"El lugar es pequeño, los platos estaban ricos y bien presentados. Lo malo fue la atención que recibimos del mesero, yo creo que estaba de mal humor porque su actitud no fue la mejor. Lo recomendaría.","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
83,Callao Sanguchería,Muy bien,24 de octubre de 2017,50,Carta corta pero sustanciosa. Muy buen sabor. El saltado de lomo de lo mejor. Buen precio y servicio.,"RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
84,Callao Sanguchería,"Rico, buenos precios!",6 de septiembre de 2017,40,"Buena opción para almuerzo por la zona. RIco, gran sabor, no muy larga la carta pero acertada. Lo mejor los sánguches.","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
85,Callao Sanguchería,Excelente comida y servicio.,24 de julio de 2017,50,"Delicioso, he probado la mayoría de los platos y todos excelentes. El suspiro limeño es una delicia.","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
86,Callao Sanguchería,Buenisimo!!!,3 de junio de 2017,50,"la comida es deli, la chicha morada tambien muy buena atencion , recomiendo mas que los sandwiches los otros platos como el ceviche y el el lomo saltado","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
87,Callao Sanguchería,Sabor y precio muy buenos,4 de febrero de 2017,50,"Fuimos un sábado, pedimos el sándwich de chicharrón y el ahí de gallina, deliciosos ambos. El sándwich tenía la batata dulce del tradicional, las salsas y las verduras frescas! Recomendadisimo el ají de gallina!","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
88,Callao Sanguchería,Buena experiencia en Bogotá,30 de enero de 2017,40,Muy rico menú con buenos jugos para acompañar la carta. Sugeriría traer algún pasabopcas mientras se espera la comida.,"RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
89,Callao Sanguchería,Muy buena comida!,17 de noviembre de 2016,50,"La comida del lugar es increíble y las porciones son muy grandes...recomiendo el lomo saltado, Los precios me parecen justos y la atención es buena.","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
90,Callao Sanguchería,De repetir y repetir,1 de septiembre de 2016,50,"Comida original peruana. Diferentes platos pero con especialidad en los ""sanguches"". Recomiendo el de chicharrón de cerdo.","RANGO DE PRECIOS
$ 7.246 - $ 25.362
TIPOS DE COMIDA
Peruana, Café, Mariscos, Comida rápida, Latina, Española
COMIDAS
Almuerzo, Cena"
