Pagina,Titulo,url
7,193. Beer Beer Company Parque de la 93,https://www.tripadvisor.co/Restaurant_Review-g294074-d15617627-Reviews-Beer_Beer_Company_Parque_de_la_93-Bogota.html
7,194. The Corner Twelve,https://www.tripadvisor.co/Restaurant_Review-g294074-d7227423-Reviews-The_Corner_Twelve-Bogota.html
7,195. Maria Candelaria,https://www.tripadvisor.co/Restaurant_Review-g294074-d2356287-Reviews-Maria_Candelaria-Bogota.html
7,196. Mi Gran Parrilla Boyacense,https://www.tripadvisor.co/Restaurant_Review-g294074-d2389320-Reviews-Mi_Gran_Parrilla_Boyacense-Bogota.html
7,197. Casa de la Cultura Colombo Portuguesa O Galo,https://www.tripadvisor.co/Restaurant_Review-g294074-d10084775-Reviews-Casa_de_la_Cultura_Colombo_Portuguesa_O_Galo-Bogota.html
7,198. Gyros & Kebab,https://www.tripadvisor.co/Restaurant_Review-g294074-d2084664-Reviews-Gyros_Kebab-Bogota.html
7,199. Cuarto Frio Gastrobar,https://www.tripadvisor.co/Restaurant_Review-g294074-d15758836-Reviews-Cuarto_Frio_Gastrobar-Bogota.html
7,200. Artezza Pizza Artesanal,https://www.tripadvisor.co/Restaurant_Review-g294074-d19093181-Reviews-Artezza_Pizza_Artesanal-Bogota.html
7,201. Restaurante El Buque,https://www.tripadvisor.co/Restaurant_Review-g294074-d5457150-Reviews-Restaurante_El_Buque-Bogota.html
7,202. Kitsune,https://www.tripadvisor.co/Restaurant_Review-g294074-d17420555-Reviews-Kitsune-Bogota.html
7,203. Nazca,https://www.tripadvisor.co/Restaurant_Review-g294074-d806593-Reviews-Nazca-Bogota.html
7,204. Co,https://www.tripadvisor.co/Restaurant_Review-g294074-d5612575-Reviews-Co-Bogota.html
